2014 Mortality Encoding,2015 Mortality Encoding,2016 Mortality Encoding,2017 Mortality Encoding,2018 Mortality Encoding,2019 Mortality Encoding,2020 Mortality Encoding
-6.147867,-6.290001,-6.959981,-8.087954,-7.367023,-7.2674565,-9.955278
-1.3588059,-1.8696833,-2.2280278,-2.496951,-2.7633822,-2.7887874,-3.7187748
9.840343,10.570103,12.51395,14.380495,12.674749,13.051973,18.069204
-11.3037615,-13.117592,-14.86159,-15.64267,-15.735078,-15.34769,-20.61161
20.228073,23.308138,25.845882,27.88161,26.322163,26.905022,35.68971
3.3144898,3.161064,4.0407844,4.1886544,3.666407,3.734486,5.393864
13.195268,14.847096,17.765781,18.373041,17.108473,17.674732,23.273285
-5.8270297,-5.8557563,-7.2461004,-6.886193,-6.9871435,-7.05666,-8.086458
1.5108668,1.4153806,1.7606314,1.7160203,1.190919,0.36521277,0.4544892
7.8398294,8.333639,9.016432,9.52448,9.640734,8.916847,11.848138
10.053777,10.570249,12.308328,12.319202,11.974006,11.5549755,16.08092
-14.052915,-14.831727,-16.572351,-17.506723,-16.749527,-17.284264,-24.263824
-7.410714,-8.497989,-9.387212,-9.487915,-8.481528,-8.997377,-11.637464
2.078168,2.4981542,2.5345483,3.3770337,2.594565,2.96691,3.6557803
-13.662409,-14.643078,-16.383503,-18.208801,-17.065145,-17.142256,-22.318377
5.766271,5.5901823,6.6176195,7.3421006,6.257409,6.6286225,8.675656
16.244005,17.24356,20.307,22.119406,20.900759,20.875439,26.442133
-9.092202,-10.055638,-11.561052,-13.02232,-11.596129,-12.032071,-17.062635
-11.298185,-12.656694,-14.80699,-15.798505,-15.120488,-14.363982,-18.851694
7.0431495,7.5995803,9.020753,9.461209,8.860754,9.17504,12.558417
18.735046,20.51337,23.748337,24.772905,23.511261,23.872475,32.698433
9.956224,9.942323,11.839417,12.199296,12.172008,12.107084,15.254407
1.9988089,1.8341384,2.8410196,3.5017934,3.6759753,3.4546733,5.2809815
7.047739,7.0433745,8.821129,9.292403,9.257437,8.907133,11.76298
11.552867,12.57875,14.585599,15.248515,14.158341,13.7321615,20.019571
12.419454,14.0408535,16.032063,16.177235,15.1081085,15.256381,20.38221
0.6446295,0.8714657,0.861218,0.91679335,1.1852031,0.35067987,1.7439332
5.1725316,5.9487834,6.357454,6.3995023,5.625574,6.4104753,8.434926
4.320981,4.410525,4.8061666,5.605247,5.50138,6.121324,8.093154
2.2231026,2.43992,3.3626337,3.0078053,2.240404,2.8950953,3.3151073
8.177251,9.5149555,10.900783,12.440612,11.705976,11.769626,16.050121
1.4505014,1.5436554,1.3905525,2.0311813,1.6459293,2.0765584,3.3342586
2.2468429,1.9695777,3.0347135,3.0078964,2.3012345,3.0790122,3.1804547
4.74288,5.1183014,5.449758,5.1382227,5.0066476,5.2045746,7.830165
4.0658503,4.6284924,5.1115723,5.9835005,5.135239,5.527033,6.787696
11.051113,12.319674,14.328873,15.439741,14.30767,14.501206,19.622145
16.283058,17.594461,20.456646,22.062828,21.088495,21.75472,28.564865
-11.287406,-12.334763,-12.71578,-13.625546,-13.2533865,-13.709299,-18.066124
-23.37689,-25.273453,-28.584637,-30.916864,-28.947712,-29.4146,-39.834927
1.3851346,0.97368324,0.26647365,1.0475835,1.1205109,0.77500045,2.0126784
22.64185,24.96033,28.640968,30.596926,28.497288,28.862093,38.01359
15.574979,17.536154,20.04138,21.296152,20.326523,20.393871,26.767843
19.744577,21.28808,24.346315,25.745615,25.47932,25.452597,33.495686
-1.3386815,-1.6108048,-0.669853,-0.5974128,-0.9639299,-1.2654979,-1.8230412
7.8126745,8.348576,9.658549,10.657194,9.634607,9.764526,12.497812
2.478162,2.4963977,2.807667,2.562869,3.0618296,2.3805268,4.189506
-0.66764796,-0.87543356,-1.0247124,-1.7008449,-1.5849727,-0.8569709,-1.7720109
-12.231266,-13.841557,-15.503778,-16.33261,-16.243597,-15.103798,-21.35332
-7.923466,-8.475863,-10.579573,-11.287816,-10.866967,-10.952101,-14.492888
5.5580416,5.687665,7.0090723,7.642143,6.891996,8.007959,10.35891
6.320963,6.6284504,7.1531363,7.450514,8.026693,7.3921847,10.280482
-10.401364,-12.188304,-13.926677,-14.80767,-14.336145,-14.538766,-20.284794
1.8947178,2.515214,1.6474818,2.6478572,1.9983684,2.7606936,4.22332
-2.323465,-2.7244241,-4.011679,-3.8456256,-3.6731975,-4.0255017,-5.9850593
-2.3441722,-2.953027,-3.0331376,-3.559775,-3.5102086,-3.1787608,-4.179942
3.8558006,3.828289,5.185032,5.725709,5.754311,5.2223043,7.1010814
2.958093,2.4728994,3.600963,3.1868796,2.6513422,3.1275463,4.598541
2.7877588,2.4034746,4.034297,5.146025,3.5926192,4.1560216,5.45421
-2.8795767,-3.0151503,-3.1442726,-3.2650363,-2.9363368,-3.7316508,-4.679896
-9.514594,-10.294291,-12.50059,-12.218622,-12.442298,-12.672764,-17.801855
1.2100611,0.88233274,0.997256,0.37967393,0.6828627,-0.29505756,-0.4214237
4.123753,4.5898786,5.1918325,5.5245667,5.4375033,5.5201406,8.453727
-0.2269082,-0.284822,-0.30089378,0.012524605,-0.622108,-0.43008184,-0.60564184
5.546014,6.0632677,7.1253686,7.2811522,6.2653465,6.8290296,8.162354
11.109628,12.335586,14.403315,16.036343,14.93209,15.220463,21.252842
2.0434103,2.7244198,2.7006278,2.212138,2.6206443,2.4345021,3.2675393
9.202977,11.082621,12.338407,13.587704,12.543219,13.588892,18.127028
12.5186825,13.664732,15.510359,16.891073,15.90633,15.415489,20.457535
22.538376,25.349764,29.19684,31.842255,29.809586,30.213438,41.500282
-6.738643,-7.2617564,-8.479701,-9.597826,-8.544151,-8.919449,-13.209869
-6.294427,-6.4306006,-7.616938,-8.379545,-7.6739545,-7.567808,-10.464253
2.3228357,2.8437865,3.3386376,3.8120387,3.304095,3.4299014,4.9226456
-13.208698,-14.43651,-16.055073,-16.903955,-16.340496,-16.825148,-22.24563
7.24008,7.579197,9.067026,9.343998,9.190754,9.67011,11.858742
-1.3555783,-1.9164995,-1.4978677,-2.2529087,-2.6389902,-2.9597657,-3.0704408
-16.111975,-17.14456,-20.228968,-21.353401,-20.167776,-20.129538,-27.668507
-3.8380039,-4.270195,-5.4385977,-4.8855996,-5.427181,-5.5682898,-6.2813206
0.39688417,0.036081757,0.11796948,0.36104056,0.74773115,0.6502251,0.6354155
-10.480716,-11.445255,-13.061711,-14.049728,-13.296922,-14.401366,-18.31671
1.8126138,1.8472933,2.7413707,2.453279,2.6753602,2.9592671,3.597425
6.10763,7.5492616,9.369988,9.520162,8.712573,9.5643835,12.568923
-6.524902,-7.227037,-7.7285295,-8.481254,-8.457889,-7.9362254,-10.871351
9.100058,9.6592455,10.8576765,11.338923,10.212769,10.62283,14.6037
23.198328,25.459028,28.945536,31.527313,29.574131,29.967813,40.340477
14.994472,17.397253,19.731049,21.407835,20.023577,19.645708,26.644075
10.093732,10.764585,13.471849,13.956269,13.270635,13.798358,18.632402
9.263888,10.379176,11.66159,12.291805,11.464823,12.298842,16.559122
-1.096022,-1.1814015,-1.8590612,-2.4587386,-1.2280701,-1.6063329,-3.0521495
5.5874624,6.7943006,7.383674,8.408994,8.271485,8.531524,10.718892
-5.8789783,-6.965936,-8.115012,-9.167782,-8.150431,-8.783745,-10.978056
-20.29546,-21.836636,-25.818954,-27.337357,-25.254871,-25.545828,-34.786873
11.739049,12.52694,14.310451,15.963404,14.924858,14.42034,19.631008
-21.701633,-22.898132,-26.77833,-28.803646,-27.405396,-27.686827,-37.332993
5.173038,5.412152,6.9949455,7.517864,6.3019834,6.2889028,8.616026
-2.5265145,-3.0768442,-2.8705144,-2.5890937,-2.7667413,-3.0354018,-3.763533
6.0761995,7.1146607,8.17823,8.275814,8.111925,8.813461,10.367408
0.9450938,0.99714106,0.9304716,0.46782604,0.6778676,1.368538,1.8707978
5.8751163,5.842207,6.809717,6.70133,6.8417664,6.925791,10.1830435
-5.101971,-5.029297,-5.1910815,-6.0705028,-5.247417,-6.1803966,-6.387068
2.0655851,1.1302015,2.3216808,2.7677705,1.161918,1.881977,2.8032994
-14.092509,-14.98217,-18.028984,-19.232805,-17.651695,-18.244076,-24.105154
-13.1807785,-14.012752,-16.194866,-17.881031,-17.176876,-16.886238,-23.313616
0.24100018,0.13167292,-0.20354623,-0.5172284,-0.16741842,-0.060781542,0.13129097
0.17173976,0.13734049,0.485609,0.56410855,0.3034057,-0.4304965,0.13120288
17.982872,19.543882,22.096476,24.42783,23.295195,23.939638,30.492598
4.2014947,4.4877763,5.3956475,5.6495447,5.876481,5.3703613,6.8440146
10.57632,11.391934,13.1521435,14.064614,13.801966,13.685012,19.166636
-0.6396646,-0.41719624,0.2761028,0.25719646,0.21497992,-0.1686978,-0.033785313
24.946617,26.870077,30.936365,32.344894,31.340334,31.24819,42.589943
-4.371589,-5.070414,-6.1308947,-6.104937,-6.6101213,-6.120409,-8.859532
-7.977937,-8.595145,-10.11378,-11.5270605,-10.9009695,-10.460768,-14.45901
-2.5192144,-3.2733932,-3.7845397,-3.8090334,-3.5117345,-2.9969053,-4.076103
12.130551,13.781043,16.665083,17.516125,16.147903,16.443487,21.281532
6.8145785,7.732856,8.443288,9.295243,9.068395,9.221417,11.555596
-4.6619606,-5.401851,-6.7535677,-8.428751,-7.307342,-7.0144854,-7.725974
-8.543502,-9.54373,-10.522203,-11.56858,-11.151969,-11.431777,-16.010208
-15.988142,-17.49446,-19.674166,-20.979845,-20.374111,-19.830559,-26.917898
-13.807515,-15.29969,-17.181793,-18.290783,-16.880703,-17.660744,-23.507183
-3.1238394,-3.2372909,-2.8510766,-3.2656813,-3.6901608,-3.389299,-4.7096114
18.453508,20.224232,23.705784,25.43204,23.611664,23.479677,30.632734
7.193655,7.0680017,9.618822,9.725519,8.782504,9.5026455,11.956252
-21.523228,-23.790691,-27.353817,-29.229939,-27.601461,-27.222628,-37.336243
-20.663254,-22.464348,-25.432425,-26.85474,-24.96979,-25.655275,-35.05746
4.8593917,5.5142136,5.643954,6.5619545,5.647791,5.93598,8.373234
14.674531,16.385948,19.468931,20.542624,18.577255,18.649902,26.10748
-13.944971,-15.241345,-16.752028,-18.403105,-17.84729,-18.480898,-23.73611
-0.022600655,-0.63570786,-0.50636816,0.14854932,-0.16261029,-0.27890325,0.67817736
3.0479176,3.4548485,4.0943756,4.7538633,3.1878862,3.2245047,5.705509
-6.332706,-6.512314,-7.868633,-8.332498,-8.650396,-8.133763,-10.905171
8.23957,9.208346,11.254079,12.120397,11.327153,11.998906,15.649877
-9.097036,-10.431446,-11.621104,-11.979452,-11.186523,-11.568118,-15.487595
3.0102918,3.5862052,3.9198108,4.273352,3.9178169,3.300189,6.026028
13.970288,15.539038,18.34529,19.896688,19.243004,19.240345,26.196135
-9.7940235,-11.198521,-12.938543,-13.554182,-12.436235,-12.005438,-17.588175
-9.437538,-11.21664,-12.961187,-13.893503,-13.476875,-13.867719,-18.336143
8.931008,9.83511,10.513297,12.051115,11.2161,11.713168,15.737634
24.205513,26.167791,30.149311,32.22812,30.269127,30.96,41.02889
3.1129675,2.7003722,3.0841079,3.5003028,3.1009393,2.9880452,3.8551822
-12.621667,-14.469201,-15.75927,-16.713959,-16.408638,-16.499159,-21.935783
0.056718916,0.6858617,-0.2020916,-0.49859515,0.15880594,0.028290838,-0.29379812
9.659316,10.96349,12.409356,13.816353,12.095719,11.898812,16.768871
1.3911515,1.7053119,1.6713234,2.1822307,2.1956651,1.7821041,2.8572357
4.360041,4.5870047,4.8962026,5.28848,5.0715384,4.8433704,6.8414516
-2.0342515,-2.263424,-3.9453142,-3.2782319,-3.1321518,-2.8786762,-4.3112607
-1.1355523,-1.3446907,-2.0073874,-0.8293255,-1.4217714,-2.059385,-2.2706435
9.900005,11.245421,12.82718,13.566218,13.254341,13.631451,17.678339
8.056087,9.147911,10.668976,11.930968,11.206771,11.439822,14.32097
14.294233,16.028244,18.434135,19.193047,19.030476,18.739567,24.903133
-2.9452875,-3.2146032,-3.732641,-2.935767,-2.8972929,-2.4224274,-4.241715
-14.345564,-15.753636,-17.316511,-18.635143,-18.40271,-18.022566,-23.931547
-3.900766,-4.399762,-5.54116,-5.398763,-4.5877213,-5.523557,-7.055488
-27.129137,-29.445127,-33.449673,-36.24985,-34.455235,-35.092785,-47.104736
6.595805,7.0847654,8.077579,9.158536,8.4195795,7.524933,10.6764345
-14.651391,-16.432266,-19.216862,-21.000904,-19.996063,-20.292114,-27.047686
-8.20684,-9.48149,-10.793084,-11.05781,-11.461749,-10.725434,-14.037834
12.614675,14.059241,15.899354,17.245699,16.053862,16.382204,21.437016
5.0542903,5.612701,6.1909924,6.3697357,6.303605,5.999907,8.137597
9.215224,9.883744,11.59431,12.165347,11.841896,11.236483,14.813883
-7.239694,-8.038709,-10.10884,-10.113379,-10.135216,-10.730842,-13.410568
3.8204703,4.1360855,4.8482533,5.2609634,4.2820435,4.428923,6.281889
-0.59319264,-0.8932696,-0.95348483,-1.0357229,-0.91037136,-1.2874784,-1.6058924
-1.9866391,-2.2728136,-3.0912795,-3.6074138,-2.9873457,-2.5961585,-2.9774165
-0.67940587,-1.3312861,-0.7635806,-0.9742585,-1.6003045,0.06045595,0.50880665
0.14422137,-0.067115605,0.2107349,-0.3099317,-0.14238507,-1.3008622,-1.468711
-11.444596,-12.459913,-13.958503,-14.851679,-13.436903,-14.239075,-19.79473
15.788042,16.206873,18.727072,19.774536,19.556417,19.264652,25.975346
12.12067,13.781435,15.57084,16.236559,15.784626,15.549215,21.772013
-6.9212627,-7.4062204,-8.285877,-9.328604,-9.06197,-9.007231,-13.109085
15.48273,16.460585,20.283035,20.970333,19.63259,19.272516,26.550283
-4.072912,-4.197969,-5.519434,-5.454582,-5.107424,-5.3931007,-6.641753
20.697527,22.582136,26.388931,28.077486,26.57393,26.978415,36.18626
3.6501794,3.8273685,4.003131,4.7883883,4.5065985,4.2712,4.4823165
-1.8366828,-2.661343,-2.7652445,-2.798172,-2.1275618,-2.1602643,-3.1019351
15.576626,16.835926,19.479092,20.375664,19.30391,19.669985,27.08342
-28.468718,-31.43481,-35.53557,-37.831524,-36.433105,-37.34161,-49.91251
1.5423987,1.8299685,1.8037666,1.9165689,1.8734772,2.102876,1.4661701
-10.460319,-11.94855,-13.854211,-14.531509,-13.783914,-13.457504,-18.73161
22.151728,23.91907,27.57439,28.817156,27.079924,28.458647,36.778774
4.8099003,5.6603174,7.1125817,7.4665346,6.0360794,6.4722033,8.61344
-5.429778,-6.421197,-6.6760545,-7.1606097,-6.330197,-6.7498307,-10.010303
-8.963064,-10.515513,-11.827973,-12.318212,-11.67771,-12.196414,-15.723983
-0.010303173,0.12876448,-0.16218844,0.38375244,0.6518281,0.8667565,0.4549559
-17.638346,-19.436422,-21.799473,-23.759699,-22.818583,-22.955399,-31.053854
0.05722275,0.4124607,0.37597314,0.12683693,-0.1404179,0.4411179,1.2948066
-10.53691,-11.292629,-12.164479,-13.833899,-13.006414,-13.009275,-18.54017
1.7300539,1.8356375,2.6204684,1.9073411,1.9494774,1.4797449,2.018523
0.87198204,0.80809015,1.4607323,1.5861868,1.0769793,0.8988907,1.3300017
3.6908772,3.7677448,3.8756773,4.308649,4.19399,4.1062016,5.724065
-13.177546,-14.919311,-16.034601,-18.309092,-17.385138,-17.62815,-24.021132
6.412718,7.1382747,7.1470385,8.097804,6.842011,6.9234066,10.118315
1.1901267,-0.042988293,1.076694,1.7790847,0.68861914,0.83260727,1.0467043
-1.1377155,-1.1576774,-1.7134361,-1.7716986,-1.2782379,-0.62180215,-1.9010464
-17.490803,-18.801218,-22.46923,-24.03494,-21.980051,-22.7813,-31.312946
3.6932514,3.9633167,4.2630615,4.2915783,4.760584,4.461229,6.39791
2.2822576,2.4415798,3.5821872,3.7365885,4.071901,4.3245506,4.8373065
-8.259949,-9.102011,-10.269741,-10.792271,-10.159663,-10.888011,-14.729802
-0.006725588,0.83096284,0.12817283,0.2907407,-0.6274443,-0.04683379,0.9799425
-5.8390374,-6.0559163,-7.4902925,-7.3225617,-6.8153815,-6.338716,-8.786264
-19.358063,-21.086157,-24.38844,-26.150675,-25.088198,-25.53855,-33.889343
-7.749601,-8.361245,-9.7112055,-10.152531,-9.564022,-9.764625,-12.627772
3.9245646,4.223471,4.537225,4.0712233,5.2126083,4.7057166,6.933179
3.8957932,4.676652,4.8032684,5.210361,5.3320622,5.122168,6.5751247
4.7100773,4.867054,5.3801765,5.885029,5.371739,5.792225,8.795141
-1.0818655,-1.0209181,-0.45682123,-0.9325016,-0.9559415,-1.2559488,-1.7296789
1.0893005,1.3306984,1.4266843,0.9200486,0.8349651,0.9485768,1.701114
-11.651926,-12.758013,-13.697509,-14.191727,-14.07975,-13.769769,-18.901112
5.797753,6.396682,7.168561,8.45635,6.9836216,7.2164297,10.069928
-2.0169044,-2.3808806,-2.356254,-2.1178832,-2.2167902,-2.3016984,-3.0626936
13.820351,14.626109,17.744068,19.07047,17.785364,18.965223,23.960188
1.6930696,1.721475,2.5350049,2.1507525,3.2075307,2.7599094,2.894702
9.825875,11.021999,12.345777,13.682939,13.241456,13.547518,17.073654
-17.411924,-18.9098,-21.696665,-23.138277,-22.42444,-22.29872,-29.809092
7.063458,7.962678,8.696252,9.318182,8.621807,8.401415,10.244381
0.21074088,-0.39542758,-0.2817306,-1.1478938,-0.9390168,-0.52574533,-0.41602033
-7.372372,-8.269512,-9.816364,-9.581753,-9.511171,-10.056115,-13.085673
-30.610096,-33.830124,-38.403255,-41.2771,-39.49371,-39.254326,-52.963524
-11.778368,-12.486106,-14.3124485,-15.475714,-14.863601,-14.980469,-19.439745
9.778499,9.859147,11.287604,12.185649,10.623355,10.178809,15.072398
-0.37035087,-0.40255567,-0.17818078,-1.1206927,-0.4881017,-0.90484196,-0.4285544
7.061488,7.809958,8.839132,9.564749,9.286428,9.26522,13.975581
-1.4176413,-1.6227459,-1.4712912,-2.1071463,-1.6384622,-1.9099275,-2.7040179
2.5661936,3.3911927,3.2352514,3.6166773,3.4659817,3.1910114,4.5988636
-4.1902075,-4.3507285,-5.4290037,-5.4559016,-4.7869143,-4.8649955,-7.1911964
0.9220229,0.92844504,0.90428305,0.8596801,0.62119406,1.7051867,2.2380786
3.582486,4.1876836,5.0034766,4.4788494,5.4719353,4.7847605,7.667639
-23.007593,-25.299446,-28.966385,-30.692793,-28.778719,-29.077915,-39.271385
10.430547,12.222499,13.89299,14.7289915,14.024197,14.552735,19.618416
-0.8767975,-0.2566708,-0.6493166,0.83728284,-0.14823945,-0.34186968,-0.25956473
-3.3635392,-3.3134894,-4.3584003,-4.5099316,-3.9926324,-3.6732764,-5.3873653
1.8381287,1.8065792,2.9047525,2.8015249,2.0110788,2.1000042,3.2649343
-1.4618303,-2.2108305,-2.314402,-3.0557837,-2.854898,-2.841538,-2.9281483
-0.03877161,-0.35769936,-0.75708246,-0.9661484,-1.2569423,-1.0023661,-1.3629651
-7.178457,-7.9517365,-8.508743,-8.929384,-9.213928,-9.018941,-12.746013
-8.379201,-9.35132,-10.387156,-10.983975,-10.353455,-11.072876,-14.599863
10.589073,11.200497,13.194328,14.217202,13.65218,13.846666,17.93429
-5.85042,-5.9905777,-6.8760486,-7.018439,-6.4093485,-6.9713135,-9.06253
16.122309,17.200352,20.183628,21.679794,20.440334,20.832886,28.636501
-1.7969983,-1.8866551,-2.303714,-1.6819293,-2.1537526,-1.570627,-2.1924314
16.300247,18.238941,21.114845,22.858185,21.534252,22.133343,28.928888
-0.22163273,0.05019949,1.0933816,1.3414807,0.6028304,1.2650495,1.2031803
-1.352333,-2.0534093,-1.8730849,-2.0936062,-2.5075352,-3.0019147,-3.1664684
-14.894542,-15.571725,-18.207962,-19.361212,-19.179619,-19.376701,-25.372583
7.9041734,8.432375,9.615319,11.199351,10.846244,10.737214,13.779395
-14.955568,-15.671853,-17.817518,-18.931059,-17.65167,-17.175825,-24.19081
-12.71797,-13.88126,-16.295044,-18.604856,-16.712284,-17.034771,-22.500988
-3.7089672,-4.356845,-4.223986,-5.2654963,-4.65399,-5.3745146,-5.272932
-14.881458,-16.068485,-17.891666,-18.618574,-17.966206,-18.260445,-24.592346
-5.157772,-5.6572614,-6.650695,-6.7751474,-6.096418,-6.231536,-8.346907
